pecahan,histogram
10,"[0.00000000e+00 3.61689814e-07 1.44675923e-05 9.36776632e-05
 4.13411472e-04 7.11082190e-04 6.35380484e-03 1.48556856e-02
 1.07052950e-02 5.71144372e-03 1.07931858e-02 1.89666525e-02
 1.89941414e-02 1.12344474e-02 7.43634254e-03 9.39236116e-03
 1.32703995e-02 1.64789502e-02 2.83600986e-02 2.76761428e-02
 2.11317278e-02 2.25958470e-02 2.46285442e-02 4.12329994e-02
 2.18377467e-02 4.30772576e-04 1.37442130e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.58072924e-04 5.83405665e-04 8.18142376e-04 1.35525176e-03
 3.24508105e-03 1.60344336e-02 1.79958772e-02 1.03772422e-02
 1.25390626e-02 2.23705154e-02 2.10575815e-02 8.89033545e-03
 6.36646431e-03 1.02209924e-02 1.58865023e-02 1.89485680e-02
 1.83423758e-02 1.82367619e-02 1.77043546e-02 1.18211079e-02
 1.47269238e-02 1.86765771e-02 1.67238135e-02 2.82230172e-02
 2.17433441e-02 8.75289334e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.69849513e-04 1.12051505e-03 1.06409146e-02 1.93760842e-02
 2.62612123e-02 1.77325662e-02 1.78967733e-02 6.36357069e-03
 4.04043682e-03 4.28204564e-03 5.34324348e-03 5.91724552e-03
 9.21947323e-03 1.90035440e-02 1.93250868e-02 1.90194584e-02
 2.03971360e-02 1.15939667e-02 1.12923179e-02 1.18431710e-02
 1.76425055e-02 2.24283859e-02 1.94419120e-02 2.46784575e-02
 7.70109938e-03 1.02358215e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
10,"[0.0000000e+00 0.0000000e+00 3.1467014e-05 1.3925058e-04 2.0399306e-04
 7.5376156e-04 4.2256219e-03 1.0397498e-02 1.3884910e-02 1.8842954e-02
 1.1361401e-02 1.0153718e-02 1.9575737e-02 1.6851129e-02 1.2845414e-02
 8.3333338e-03 1.2454789e-02 2.4729457e-02 2.9586950e-02 2.2753906e-02
 3.9908130e-02 4.1917317e-02 1.1431930e-02 7.9408996e-03 9.0606911e-03
 5.3479457e-03 5.9787324e-04 2.8935185e-06 3.6168981e-07 0.0000000e+00
 0.0000000e+00 0.0000000e+00 3.6168981e-07 6.5104170e-05 2.1809895e-04
 5.4181134e-04 2.9720052e-03 9.2722801e-03 1.8133681e-02 2.3567347e-02
 1.5860822e-02 1.5628256e-02 2.2469617e-02 1.9914279e-02 1.8863570e-02
 2.3675853e-02 1.5652128e-02 2.4694733e-02 3.7231628e-02 2.8672237e-02
 8.9680990e-03 1.0971499e-02 1.1536096e-02 4.4364873e-03 4.1507524e-03
 6.4510996e-03 4.5294417e-03 3.8107638e-03 1.0452835e-03 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6420717e-04
 1.5190972e-03 1.0486111e-02 2.5518302e-02 2.6151258e-02 1.9538121e-02
 1.6434461e-02 1.1898148e-02 1.2750289e-02 9.8473672e-03 1.7557871e-02
 2.1168619e-02 2.1149088e-02 2.9173177e-02 3.8480181e-02 1.1614945e-02
 5.4177516e-03 8.8440394e-03 1.1058666e-02 7.5419559e-03 4.8658131e-03
 3.5695168e-03 4.0816697e-03 6.9889324e-03 3.2345920e-03 3.5109231e-03
 7.6786749e-04 3.6168981e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
10,"[5.57002332e-03 1.01092306e-03 3.54817719e-04 4.80685761e-04
 2.22475408e-03 4.57465276e-03 3.01974826e-03 6.80772588e-03
 1.44281685e-02 2.22771987e-02 3.30374725e-02 1.24446610e-02
 1.12322774e-02 8.92976020e-03 8.05989560e-03 7.48263905e-03
 7.02980347e-03 7.96477124e-03 1.23390481e-02 2.59993486e-02
 2.51099542e-02 2.04463247e-02 1.13577833e-02 9.02922451e-03
 1.12178093e-02 1.78338401e-02 2.00853590e-02 1.53219039e-02
 5.99030685e-03 1.50282122e-03 1.58420138e-04 1.12123844e-05
 5.92773454e-03 9.19415499e-04 1.77842879e-03 4.00462979e-03
 4.26287623e-03 5.02206292e-03 1.01895258e-02 2.45131664e-02
 3.65567133e-02 1.85666233e-02 1.40020978e-02 1.25499135e-02
 1.23433881e-02 1.13653792e-02 1.16786025e-02 1.53052658e-02
 1.54861109e-02 1.42234517e-02 1.18822334e-02 1.20865889e-02
 1.01367189e-02 7.23885978e-03 6.80555543e-03 8.60460103e-03
 9.90632270e-03 1.00654662e-02 1.36389611e-02 1.59176067e-02
 6.59866910e-03 1.59505208e-03 1.51548025e-04 9.76562478e-06
 6.98676193e-03 4.98372409e-03 8.90154764e-03 2.23571323e-02
 4.14239727e-02 2.35626455e-02 1.16116898e-02 8.27437826e-03
 1.03624128e-02 1.04712816e-02 7.58969923e-03 7.92245381e-03
 9.66688339e-03 1.40870949e-02 1.11382380e-02 1.39536317e-02
 1.07584633e-02 1.07345916e-02 8.77242442e-03 6.83232071e-03
 5.45211229e-03 4.94791660e-03 6.36031525e-03 8.45377613e-03
 1.07013164e-02 1.20656108e-02 1.47142652e-02 1.25962095e-02
 6.14221627e-03 1.37152779e-03 1.28038198e-04 8.68055577e-06]"
10,"[6.79976831e-04 1.13570604e-04 2.62948510e-04 5.94979734e-04
 6.09809009e-04 1.09157991e-03 9.77032725e-03 1.56778060e-02
 1.76396128e-02 1.75021701e-02 4.01258701e-03 4.68315976e-03
 2.12854450e-03 1.12521707e-03 1.03226269e-03 2.66565382e-03
 7.39800325e-03 1.91688370e-02 2.18804255e-02 2.81958915e-02
 3.36733200e-02 3.73513438e-02 1.55009404e-02 1.91670284e-02
 4.06304263e-02 2.99764909e-02 7.69314240e-04 3.11053227e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.05295126e-04 2.95500591e-04 7.91739032e-04 8.69140611e-04
 4.95478883e-03 1.86404083e-02 2.67697480e-02 1.30924480e-02
 4.44552954e-03 5.97294560e-03 2.90798605e-03 1.57262734e-03
 2.94451672e-03 3.35575803e-03 3.06170434e-03 9.91030131e-03
 2.33742036e-02 2.12590415e-02 1.56315099e-02 1.42813222e-02
 3.70428227e-02 3.47066708e-02 1.97489876e-02 2.32436340e-02
 2.90990304e-02 1.46502461e-02 5.42534735e-06 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.34620944e-03 2.11660890e-03 2.28208192e-02 3.25799324e-02
 8.49681720e-03 2.71158852e-03 1.97337964e-03 2.41608801e-03
 3.07074655e-03 2.91413488e-03 2.94668693e-03 3.25810187e-03
 4.58224816e-03 1.75148286e-02 1.84526909e-02 1.92733649e-02
 1.20431855e-02 1.40172886e-02 2.06557438e-02 2.43457034e-02
 2.16851123e-02 1.95800774e-02 2.47352421e-02 2.12065969e-02
 2.59107351e-02 2.67758965e-03 1.80844904e-06 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
10,"[0.0000000e+00 0.0000000e+00 7.2337963e-07 6.6189234e-05 3.0526621e-04
 5.4687500e-04 1.3226997e-03 2.4645545e-03 5.5541089e-03 1.2350623e-02
 2.3984013e-02 2.8749276e-02 1.1252532e-02 1.2035591e-02 1.1029008e-02
 8.4078414e-03 7.4099391e-03 7.1365018e-03 8.7033417e-03 1.8692492e-02
 2.4589844e-02 4.7407769e-02 6.8358652e-02 1.8153936e-02 5.4850262e-03
 4.9070455e-03 4.3862122e-03 3.3275464e-05 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.2337962e-06 4.9551505e-05
 5.5844907e-04 1.3516349e-03 2.8067129e-03 6.3523580e-03 9.5674191e-03
 1.9141348e-02 3.0885778e-02 1.9504122e-02 1.5085359e-02 1.3591218e-02
 1.1264106e-02 1.1050709e-02 1.1289424e-02 8.8527203e-03 1.2916666e-02
 1.2348814e-02 1.5673827e-02 3.6219981e-02 4.9904875e-02 2.4900174e-02
 7.0652487e-03 3.7405961e-03 4.6477141e-03 4.3775318e-03 1.7975984e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5104168e-06
 1.3020834e-03 7.0721209e-03 8.4588397e-03 1.6296659e-02 2.9148944e-02
 3.0920863e-02 1.2726056e-02 8.9076972e-03 6.0890480e-03 4.5225695e-03
 3.8371673e-03 4.2979601e-03 6.9929110e-03 1.0538918e-02 9.5504196e-03
 1.2077184e-02 2.0454643e-02 3.2222584e-02 4.7333259e-02 3.1313296e-02
 1.3723958e-02 3.0389179e-03 1.6923466e-03 3.0573639e-03 3.9058884e-03
 3.8346355e-03 1.0489005e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
100,"[1.37442130e-05 6.98061340e-05 2.22800925e-04 1.47569447e-03
 2.23994511e-03 1.09375000e-03 1.56937214e-03 2.72605615e-03
 3.52285872e-03 6.67968765e-03 1.03266062e-02 8.18648748e-03
 7.20992498e-03 6.88440399e-03 8.64185486e-03 1.38878040e-02
 1.70909297e-02 2.18956172e-02 4.49215136e-02 3.61031555e-02
 2.69191265e-02 2.55537480e-02 1.74779370e-02 9.48748551e-03
 1.35818142e-02 4.54452410e-02 1.05975116e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.44675926e-06 2.06163186e-05
 1.38527204e-04 3.57349549e-04 5.46513300e-04 2.50325515e-03
 2.10322626e-03 1.63122104e-03 3.22771980e-03 6.25831867e-03
 1.34895835e-02 1.21498844e-02 1.08586513e-02 1.38378907e-02
 1.89850982e-02 2.31369361e-02 2.80609801e-02 5.36577702e-02
 4.43782546e-02 2.05787029e-02 9.39923339e-03 9.12109390e-03
 1.84874125e-02 4.03736271e-02 3.00202555e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.44675926e-06
 1.19357637e-05 4.05092578e-05 1.44675927e-04 3.19010403e-04
 5.74725098e-04 8.98437516e-04 3.51164630e-03 3.59338825e-03
 3.69864004e-03 9.66579840e-03 1.17820455e-02 1.26537178e-02
 2.03627758e-02 2.39547156e-02 3.05400025e-02 3.91529240e-02
 7.22999871e-02 2.22504344e-02 9.19017661e-03 3.10876016e-02
 3.17158550e-02 4.41695610e-03 1.41782407e-03 4.81047464e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
100,"[0.0000000e+00 0.0000000e+00 3.6168981e-06 1.2188947e-04 9.0494793e-04
 5.7110819e-04 5.2119500e-04 1.0550492e-03 1.6279658e-03 2.4956597e-03
 3.3159722e-03 5.3830296e-03 5.5573639e-03 5.0947629e-03 4.8820893e-03
 7.0077400e-03 9.4958041e-03 1.5120081e-02 2.2968026e-02 4.3692853e-02
 3.7466362e-02 2.9340640e-02 2.0728443e-02 2.9241536e-02 2.6591796e-02
 5.0159145e-02 9.9855326e-03 7.2337963e-07 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.9892939e-05
 9.9103010e-05 1.4973959e-04 7.2374131e-04 6.4489292e-04 1.0886863e-03
 1.9241899e-03 2.6938657e-03 3.7905092e-03 5.4727285e-03 7.2652632e-03
 1.2930050e-02 1.1141493e-02 8.3260993e-03 8.8498266e-03 1.4244068e-02
 1.7338686e-02 2.5253907e-02 4.3680195e-02 3.9756946e-02 2.6383463e-02
 1.6812790e-02 2.5018446e-02 5.5175420e-02 4.5399307e-03 9.4039351e-06
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.0850695e-06 8.0656828e-05 3.9713542e-04 5.0781248e-04 8.2971645e-04
 1.6634115e-03 1.1990017e-03 3.1206596e-03 5.8987993e-03 8.4942849e-03
 4.1138600e-03 4.3800636e-03 4.3500434e-03 5.2546295e-03 9.1142217e-03
 1.3701895e-02 1.4354745e-02 1.8759765e-02 2.9533781e-02 4.0938225e-02
 3.8859230e-02 2.0836588e-02 3.3922527e-02 6.5423176e-02 6.1154515e-03
 1.2934027e-03 1.8373842e-04 5.4253474e-06 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
100,"[3.94241906e-05 1.14293980e-04 6.00043393e-04 2.24211509e-03
 1.16753473e-03 1.52886286e-03 2.64286739e-03 3.88093176e-03
 5.41775161e-03 7.00195320e-03 5.99537045e-03 5.23292832e-03
 5.48647298e-03 9.64771397e-03 1.37695316e-02 1.74688939e-02
 1.74725112e-02 3.72410305e-02 3.71846072e-02 2.95261871e-02
 1.87467448e-02 1.13592306e-02 2.78801359e-02 1.82382092e-02
 5.32490611e-02 1.98929396e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.37442130e-05 5.78703693e-05 2.05801509e-04
 6.28978596e-04 8.30801495e-04 2.10250285e-03 3.91348358e-03
 3.88527196e-03 6.56828703e-03 8.93301517e-03 1.29260710e-02
 1.21885855e-02 9.29506682e-03 1.17292386e-02 1.60271991e-02
 1.62188951e-02 1.78729016e-02 3.79195586e-02 4.90755215e-02
 1.91789642e-02 2.46831588e-02 1.22623695e-02 1.34610096e-02
 5.32982498e-02 5.67853021e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.80844909e-05 2.57884851e-04 3.49754060e-04
 5.37109387e-04 1.39829284e-03 2.42223660e-03 3.58615443e-03
 5.34830708e-03 6.51873555e-03 6.14185492e-03 4.36197920e-03
 6.45218464e-03 1.06043834e-02 1.31036602e-02 1.37659144e-02
 1.89500153e-02 2.30580866e-02 5.31597212e-02 5.77777773e-02
 2.40766052e-02 9.83651634e-03 2.84063946e-02 4.09971774e-02
 1.60879630e-03 5.72555000e-04 2.31481481e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
100,"[0.00000000e+00 4.70196755e-06 3.76157404e-05 9.43648745e-04
 1.25470199e-03 6.92274305e-04 1.34657114e-03 2.32024025e-03
 3.44184018e-03 5.29803243e-03 8.12065974e-03 5.49406838e-03
 5.66767948e-03 7.01786764e-03 1.13646556e-02 1.49692567e-02
 3.11183445e-02 3.80363874e-02 2.40831170e-02 2.92845778e-02
 3.59924771e-02 1.27640339e-02 1.41377319e-02 1.11223236e-02
 6.25929534e-02 6.22757524e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.44675926e-06 5.78703703e-06 1.55526614e-05
 2.78501157e-05 5.31684018e-05 2.11226856e-04 6.70572917e-04
 2.40776921e-03 2.62550637e-03 4.56488738e-03 6.21310761e-03
 1.03121381e-02 1.30240889e-02 1.07754627e-02 1.37684466e-02
 2.14850977e-02 2.24685334e-02 5.04137725e-02 3.71064804e-02
 3.59197780e-02 1.28417965e-02 7.40632229e-03 1.20229311e-02
 6.27676472e-02 6.22395845e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.97858776e-06 5.42534735e-06
 3.97858776e-06 5.71469900e-05 2.89713527e-04 7.14699097e-04
 1.47786457e-03 1.85149012e-03 2.85698776e-03 2.56438088e-03
 4.36812779e-03 5.69046568e-03 1.01095922e-02 1.52944159e-02
 1.79434326e-02 2.57027633e-02 4.49218750e-02 6.91583455e-02
 3.52879055e-02 1.04727289e-02 2.19061058e-02 4.05913629e-02
 2.16995813e-02 3.46137153e-04 1.48292820e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
