pecahan,histogram
100,"[0.0000000e+00 3.6168981e-07 3.6168981e-06 7.5954863e-06 6.1451102e-04
 6.9335935e-04 6.4887153e-04 6.9335935e-04 1.2934027e-03 3.0204717e-03
 4.0444154e-03 6.1711515e-03 4.4184029e-03 5.0622108e-03 5.7342304e-03
 9.7218603e-03 1.6002605e-02 1.8858869e-02 3.4661818e-02 2.3263888e-02
 2.7207755e-02 4.5117188e-02 1.8233869e-02 1.8764468e-02 6.4582974e-02
 2.4509549e-02 2.5318286e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6168981e-07
 1.0850695e-06 5.0636572e-06 5.0636572e-06 1.3744213e-05 5.8268232e-04
 6.5972219e-04 1.5910735e-03 8.7890623e-04 1.1859809e-03 2.5209780e-03
 9.8234955e-03 1.1026114e-02 8.9984806e-03 1.2172671e-02 1.6312573e-02
 1.9118201e-02 3.1485461e-02 5.9617333e-02 3.7997685e-02 1.1323423e-02
 1.7997686e-02 6.5503113e-02 2.4509910e-02 2.5318286e-06 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0850695e-06 1.8084490e-06
 1.0633680e-04 8.6118345e-04 1.8988716e-04 1.2261285e-04 2.7416088e-04
 2.3441117e-03 3.4356916e-03 2.6598668e-03 7.2746673e-03 1.0059318e-02
 1.0979456e-02 1.4609375e-02 2.4616970e-02 6.0176868e-02 4.6473525e-02
 3.3886358e-02 3.3188656e-02 4.2169414e-02 3.8429905e-02 1.4633969e-03
 8.6805558e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
20,"[3.2552084e-06 2.4594907e-05 3.5988138e-04 6.0836226e-04 8.1561052e-04
 1.5574363e-03 3.2609953e-03 3.6241319e-03 4.0842015e-03 5.4014758e-03
 1.2122395e-02 1.2386068e-02 9.7493492e-03 1.2566551e-02 1.2816840e-02
 1.0822845e-02 9.5095485e-03 1.2389685e-02 1.7802734e-02 4.3782551e-02
 6.2077183e-02 4.0608361e-02 2.1031540e-02 1.3552155e-02 1.0041232e-02
 1.1309317e-02 1.0224971e-03 2.5318286e-06 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 7.2337962e-06 2.5318286e-05 1.8916378e-04
 1.9567418e-03 4.1561779e-03 4.9996385e-03 3.5438368e-03 9.8126447e-03
 1.1757451e-02 7.7940538e-03 6.9292537e-03 6.8485965e-03 6.2351706e-03
 6.8782554e-03 8.8346358e-03 9.1804108e-03 9.7526042e-03 1.0432943e-02
 1.6805917e-02 3.7009910e-02 5.8777850e-02 4.6744790e-02 2.0292245e-02
 1.1683305e-02 1.5245588e-02 9.6809892e-03 7.7455873e-03 1.2659143e-05
 3.6168981e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4380787e-05
 7.5737847e-04 4.7258390e-03 5.7675056e-03 4.1427952e-03 8.4176073e-03
 1.4483145e-02 8.8849105e-03 5.5653211e-03 5.0994647e-03 4.8090280e-03
 5.4423464e-03 7.4128327e-03 9.2209205e-03 1.0930266e-02 1.2645038e-02
 1.0639467e-02 1.1490524e-02 2.1953486e-02 4.6946615e-02 3.7563659e-02
 3.5682146e-02 1.8293910e-02 9.3641495e-03 1.3448712e-02 8.9026336e-03
 7.2667100e-03 3.4121817e-03 3.6168981e-07 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
20,"[2.89351851e-06 5.35300933e-05 4.00028948e-04 5.42896392e-04
 7.51953106e-04 1.23770256e-03 2.25260411e-03 3.68200243e-03
 7.70218438e-03 1.17708333e-02 1.95949078e-02 2.56076381e-02
 1.80837680e-02 2.18894668e-02 1.70229319e-02 1.34024164e-02
 9.34027787e-03 8.93988740e-03 1.13382526e-02 3.07295285e-02
 4.94990610e-02 2.68370230e-02 1.84197780e-02 1.34085650e-02
 8.99414066e-03 1.15957754e-02 2.32204868e-04 1.08506947e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.89351851e-06 1.84461805e-05 1.90972220e-04 1.39829284e-03
 3.62738711e-03 7.76873576e-03 1.14460355e-02 1.91952400e-02
 2.74999999e-02 2.01229751e-02 1.88932288e-02 1.08174188e-02
 7.28153950e-03 4.48893243e-03 4.81228298e-03 6.17657695e-03
 7.88592268e-03 7.98972789e-03 1.00828269e-02 2.50358079e-02
 5.44502325e-02 2.66970489e-02 1.67661309e-02 9.56271682e-03
 1.47135416e-02 1.17484089e-02 4.65784129e-03 2.17013894e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.25506369e-04 8.98437516e-04 4.29470465e-03 1.01822913e-02
 1.23951100e-02 2.00314671e-02 3.45974378e-02 2.38082316e-02
 1.04242619e-02 7.05005787e-03 4.30700229e-03 3.63353593e-03
 4.34678840e-03 5.06799761e-03 7.48625584e-03 1.02466727e-02
 7.84939248e-03 8.54383688e-03 1.43160447e-02 4.08264622e-02
 2.65838392e-02 2.28367336e-02 1.41366469e-02 7.69061036e-03
 1.32696759e-02 7.76077854e-03 9.12254024e-03 1.50101271e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
20,"[7.23379628e-07 9.36776632e-05 7.11805536e-04 6.69487868e-04
 5.55555569e-04 7.96079286e-04 2.19654222e-03 2.74377898e-03
 3.76048894e-03 8.21940135e-03 8.06857646e-03 1.14185475e-02
 1.64001007e-02 1.64814815e-02 1.20164203e-02 9.18909162e-03
 1.20276334e-02 2.94079129e-02 5.57884835e-02 3.88512723e-02
 2.22301800e-02 1.17928963e-02 1.59038622e-02 2.14355476e-02
 2.01873556e-02 1.22482637e-02 1.27314808e-04 1.08506947e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.44675926e-06 2.06163186e-05 1.49377898e-04 1.02502899e-03
 2.82515911e-03 3.51273152e-03 6.57769106e-03 6.31727418e-03
 8.73914920e-03 1.08091002e-02 1.11038769e-02 6.96686935e-03
 7.45876739e-03 9.82675049e-03 9.49182548e-03 1.02774156e-02
 1.05862990e-02 1.99446622e-02 5.49551509e-02 4.76081446e-02
 1.98325384e-02 9.63577814e-03 1.03262439e-02 1.81235541e-02
 2.53540948e-02 2.16612406e-02 2.02546289e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.47627341e-05 8.73119221e-04 2.77741603e-03 5.25462953e-03
 7.90364575e-03 8.56915489e-03 1.27126733e-02 1.01504633e-02
 5.12225134e-03 5.09186927e-03 6.54333038e-03 8.16080719e-03
 8.53009243e-03 8.36263038e-03 8.84512439e-03 1.07186781e-02
 1.89008247e-02 4.53056283e-02 3.37756798e-02 2.98676211e-02
 1.60651766e-02 1.02477577e-02 1.15216291e-02 1.57555696e-02
 1.50799332e-02 1.26168262e-02 1.44021269e-02 8.39120403e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
20,"[0.00000000e+00 2.53182861e-06 4.81047464e-05 2.41970483e-04
 4.64771409e-04 5.17216453e-04 1.91189232e-03 5.16384561e-03
 1.60583053e-02 2.78844759e-02 2.28143092e-02 1.42140482e-02
 1.61852576e-02 1.95703134e-02 1.52275031e-02 1.21129919e-02
 1.24609377e-02 1.97233073e-02 3.15722674e-02 2.54770685e-02
 1.54058160e-02 8.03349260e-03 1.49858939e-02 2.65574362e-02
 2.29676645e-02 3.65270535e-03 7.34230343e-05 5.42534735e-06
 3.61689814e-07 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.08506947e-06 1.84461805e-05 1.01996528e-04 5.14322892e-04
 3.64076975e-03 1.27307577e-02 2.94650607e-02 2.44100839e-02
 1.12673612e-02 1.34201385e-02 1.32251885e-02 7.41898129e-03
 6.29882794e-03 1.18294274e-02 1.05468752e-02 9.61660873e-03
 1.06438082e-02 1.43428100e-02 3.50318290e-02 2.95670573e-02
 1.08778216e-02 4.97070327e-03 7.52097787e-03 1.73321757e-02
 3.53642218e-02 1.31322341e-02 4.37644667e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.85937487e-05 6.78168377e-04 5.08138025e-03 1.86183453e-02
 3.03620510e-02 2.18565539e-02 1.54484957e-02 1.26504628e-02
 6.25904230e-03 4.94176801e-03 5.55772567e-03 7.21969036e-03
 1.08438227e-02 8.01504590e-03 8.93916376e-03 9.37246811e-03
 1.32179540e-02 3.02828420e-02 1.86465569e-02 2.21571177e-02
 8.22410267e-03 7.06922729e-03 9.22128186e-03 1.39460359e-02
 2.40241606e-02 1.25933159e-02 8.04000255e-03 7.95717551e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
20,"[0.00000000e+00 3.58796300e-04 6.22106454e-05 2.35098378e-05
 1.73611115e-05 1.95312496e-05 3.33839707e-04 6.04130514e-03
 8.23531579e-03 1.26898875e-02 2.32986119e-02 2.72211377e-02
 2.39416957e-02 3.59161608e-02 4.01739739e-02 1.47793693e-02
 9.98951122e-03 4.93598077e-03 4.82421881e-03 7.17664929e-03
 1.16540072e-02 1.39431423e-02 1.03569878e-02 2.36234087e-02
 2.76880786e-02 1.92017499e-02 6.77951379e-03 3.36371522e-05
 1.22974534e-05 1.44675926e-06 0.00000000e+00 0.00000000e+00
 3.61689814e-07 3.87369801e-04 5.75086815e-05 1.95312496e-05
 9.44010390e-05 4.86328127e-03 1.24392360e-02 2.64236107e-02
 2.62695309e-02 1.86006222e-02 4.14767787e-02 3.87174487e-02
 1.43098962e-02 9.53595154e-03 2.82588252e-03 2.04463257e-03
 3.17599834e-03 4.41840291e-03 4.63397009e-03 4.91247093e-03
 8.12319200e-03 1.60101987e-02 1.07638892e-02 1.31322341e-02
 1.89869069e-02 3.31083611e-02 1.49406828e-02 3.01902485e-03
 1.37442130e-05 1.33825233e-05 9.76562478e-06 5.06365723e-06
 7.23379628e-07 3.64221632e-04 1.16102434e-04 2.04824936e-03
 2.09125429e-02 3.35579440e-02 2.48940252e-02 2.32725702e-02
 2.96090133e-02 3.75180840e-02 1.29955150e-02 4.82530380e-03
 3.66391777e-03 3.27184610e-03 3.32103577e-03 3.00528063e-03
 4.39633988e-03 3.14633967e-03 3.72685189e-03 4.70305281e-03
 9.39742476e-03 1.42661314e-02 1.05356630e-02 1.26616750e-02
 1.78830288e-02 2.59968173e-02 1.37160011e-02 9.48025193e-03
 2.38715274e-05 1.08506947e-05 1.22974534e-05 3.61689814e-07]"
200,"[6.1921298e-04 7.0963544e-04 6.7780673e-04 7.0601853e-04 1.0416667e-03
 1.5653935e-03 1.8634259e-03 2.0283565e-03 2.0543982e-03 3.3828849e-03
 5.8250143e-03 7.5350837e-03 8.2924627e-03 9.5511433e-03 1.2642868e-02
 1.8929036e-02 3.0838758e-02 3.2023653e-02 3.9797816e-02 9.3287034e-03
 1.2503255e-02 1.5993200e-02 1.9014034e-02 1.1989294e-02 3.1603370e-02
 4.7220051e-02 5.5967881e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 5.1468459e-04 1.0232205e-03 1.4073350e-03
 1.7263455e-03 2.5213398e-03 2.9361979e-03 3.4436488e-03 6.2547019e-03
 9.3236398e-03 7.6895254e-03 8.8216150e-03 1.6967954e-02 1.4414785e-02
 1.6052518e-02 1.8735532e-02 2.5865523e-02 3.8624495e-02 1.2742694e-02
 1.3019748e-02 1.1366464e-02 1.0151548e-02 1.0311053e-02 9.2245368e-03
 6.6930698e-03 2.5503110e-02 5.2522063e-02 5.4759840e-03 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4865451e-04
 3.9279513e-04 8.0946181e-04 1.3288484e-03 1.6970487e-03 2.8888166e-03
 3.6675348e-03 3.4986255e-03 7.0153358e-03 9.3760854e-03 1.0075593e-02
 1.5828632e-02 1.8858507e-02 1.7059823e-02 1.7990451e-02 2.0464048e-02
 3.4820963e-02 1.4095052e-02 6.8008536e-03 9.7392220e-03 1.2579210e-02
 1.0056785e-02 1.2855902e-02 3.4095053e-02 6.3184679e-02 3.9832899e-03
 2.1701389e-05 3.6168981e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
200,"[6.00405110e-05 9.65711806e-05 1.37803814e-04 1.62037031e-04
 2.44864001e-04 4.18836804e-04 5.94256388e-04 9.35691525e-04
 1.64243346e-03 2.22222228e-03 3.36190686e-03 4.42093471e-03
 6.37297472e-03 9.07443557e-03 8.40133056e-03 1.40715418e-02
 2.51255073e-02 3.08890343e-02 3.80859375e-02 2.36577690e-02
 1.56134255e-02 1.93833187e-02 2.42668539e-02 1.16366465e-02
 4.43637893e-02 4.36740443e-02 4.41912608e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.81047464e-05 1.55526621e-04 3.17201979e-04 6.03660301e-04
 1.19610818e-03 1.81278936e-03 1.86197914e-03 2.28768797e-03
 4.13664663e-03 7.25188060e-03 8.20710324e-03 9.73198749e-03
 1.40766054e-02 1.35865165e-02 1.83553956e-02 1.75701678e-02
 3.07081882e-02 2.70833336e-02 2.22779233e-02 1.88563373e-02
 1.40878186e-02 1.27311200e-02 8.78906250e-03 5.21629071e-03
 3.91786024e-02 4.83311638e-02 4.87413211e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.08506947e-06 3.32754644e-05 1.11038775e-04 3.00564250e-04
 4.62239579e-04 8.36588559e-04 2.30396423e-03 4.08998830e-03
 5.27271396e-03 5.71361417e-03 6.99652778e-03 7.91304931e-03
 1.21990740e-02 2.12691687e-02 2.37536170e-02 1.88071467e-02
 2.41431575e-02 2.25889757e-02 1.00839119e-02 1.12239579e-02
 1.47999851e-02 1.46097364e-02 1.58521421e-02 5.01493774e-02
 5.80164939e-02 1.79796002e-03 3.61689808e-06 3.61689814e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
200,"[2.8501157e-04 4.2028356e-04 5.6640623e-04 5.9678819e-04 7.9824944e-04
 1.1722366e-03 1.5216290e-03 2.0265481e-03 2.1520543e-03 2.9014756e-03
 4.4042971e-03 4.9016206e-03 8.2570165e-03 7.3394096e-03 1.1520905e-02
 2.3141637e-02 3.6784939e-02 5.6586735e-02 3.8686343e-02 1.7078994e-02
 2.0772569e-02 2.3167318e-02 1.6442418e-02 1.6981337e-02 3.0222440e-02
 4.6035880e-03 1.0850695e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 3.9894387e-04 9.3786168e-04 1.4594184e-03
 1.5791378e-03 2.1270977e-03 2.7329281e-03 2.2507957e-03 3.7894242e-03
 6.9285301e-03 8.3456310e-03 1.0806930e-02 1.2963686e-02 1.4296875e-02
 1.7504701e-02 2.1052156e-02 2.6192492e-02 4.8246529e-02 3.5983436e-02
 1.9844111e-02 1.4105903e-02 1.5038701e-02 9.5869498e-03 7.6786750e-03
 9.4032120e-03 3.1731408e-02 8.3478009e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5807290e-05
 2.6114006e-04 5.5157696e-04 9.7511575e-04 1.3523583e-03 2.0609086e-03
 4.7298176e-03 8.0215568e-03 8.4110964e-03 7.2359666e-03 7.4634692e-03
 9.8195169e-03 1.4143880e-02 3.2617189e-02 3.1763237e-02 2.0557726e-02
 2.4904875e-02 2.2340856e-02 1.3760851e-02 1.4136285e-02 1.6391059e-02
 1.4506655e-02 2.7000505e-02 3.0833695e-02 1.9304108e-02 1.5299479e-04
 1.0850695e-06 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
200,"[8.4635416e-05 1.5299479e-04 2.1629051e-04 3.4215857e-04 7.4905960e-04
 1.0554108e-03 1.3704427e-03 1.4988426e-03 1.4572482e-03 2.8302227e-03
 4.8538772e-03 5.2322047e-03 8.2288049e-03 1.1839555e-02 1.6520545e-02
 2.9516060e-02 4.5406900e-02 4.3202400e-02 3.0329138e-02 1.4294343e-02
 1.8037472e-02 1.2167607e-02 8.7832753e-03 1.9058160e-02 3.7856989e-02
 1.8248336e-02 3.6168981e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 2.0001447e-04 3.7977431e-04 6.0619210e-04
 9.9573203e-04 1.8623408e-03 2.4019820e-03 2.6052517e-03 4.8875143e-03
 8.3130784e-03 9.3127890e-03 1.1672092e-02 1.4387297e-02 1.5013744e-02
 2.4261069e-02 2.7266348e-02 3.5728082e-02 1.3315249e-02 2.2106120e-02
 1.4283492e-02 1.2207393e-02 1.8153211e-02 1.3331525e-02 4.5229313e-03
 4.6639903e-03 3.5757016e-02 3.5098016e-02 1.0850695e-06 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.8017939e-05
 2.2858796e-04 3.8628472e-04 6.3404226e-04 1.0029658e-03 2.6164642e-03
 5.7302518e-03 5.8658854e-03 6.5031829e-03 8.7702544e-03 9.2903646e-03
 1.4559823e-02 1.8887442e-02 2.9973596e-02 3.5797525e-02 4.3361545e-02
 2.1092664e-02 1.4361979e-02 2.0279948e-02 1.2268880e-02 3.4114583e-03
 2.9955150e-03 2.8099681e-03 2.9397063e-02 3.8890336e-02 4.1192854e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00]"
